Category,Logo,Tool,Type,Website,What it does,Approx cost (Jun 2026),Works with Claude?,Pros,Cons,Best for,Integration /10,Cost value /10,Functionality /10,Overall,Rank in category
AI Presentations,"=IMAGE(""https://www.google.com/s2/favicons?domain=gamma.app&sz=64"")",Gamma,Freemium,gamma.app,Prompt-to-deck/doc/website with modern card-based design,Free; Plus $10/mo; Pro $20/mo,Partial — API (beta) + Zapier; paste Claude outlines,Best-looking instant decks; also docs & sites,Card format ≠ classic PPT; export quirks,Anyone making decks fast,7,8,9,8.0,2
AI Presentations,"=IMAGE(""https://www.google.com/s2/favicons?domain=beautiful.ai&sz=64"")",Beautiful.ai,Paid,beautiful.ai,Slide tool with smart templates that auto-apply design rules,Pro $12/mo; Team $40/user/mo,No,Designs stay on-grid automatically; DesignerBot,No free tier; rigid templates,Consultants and sales teams,5,6,7,6.0,7
AI Presentations,"=IMAGE(""https://www.google.com/s2/favicons?domain=pitch.com&sz=64"")",Pitch,Freemium,pitch.com,Collaborative presentation software with AI generation and analytics,Free; Pro $22/mo,No,Real-time collaboration; sharing analytics,AI secondary to collaboration,Startup and sales teams,5,6,7,6.0,8
AI Presentations,"=IMAGE(""https://www.google.com/s2/favicons?domain=plusai.com&sz=64"")",Plus AI,Paid,plusai.com,AI deck generation inside Google Slides and PowerPoint,From $10/mo,No,Lives in Slides/PPT — no new tool to learn,Add-on constraints,Teams locked into Google Slides/PPT,6,7,7,6.7,6
AI Presentations,"=IMAGE(""https://www.google.com/s2/favicons?domain=tome.app&sz=64"")",Tome,Paid,tome.app,AI storytelling decks (since pivoted toward sales intelligence),Pro ~$20/mo,No,Beautiful narrative format,Pivoted away from presentations — risky bet,Early adopters of narrative decks,3,5,5,4.3,12
AI Presentations,"=IMAGE(""https://www.google.com/s2/favicons?domain=popai.pro&sz=64"")",PopAi,Freemium,popai.pro,"AI workspace: chat with docs, generate slides and images",Free; from $10/mo,No,Cheap all-in-one doc chat + slides,Master of none,Students and generalists,4,7,6,5.7,9
AI Presentations,"=IMAGE(""https://www.google.com/s2/favicons?domain=presentations.ai&sz=64"")",Presentations.AI,Freemium,presentations.ai,ChatGPT-style deck generation with brand sync and templates,Free; from $10/mo,No,Anti-fragile templates; brand kits,Newer player; export fidelity,SMB pitch decks,4,7,6,5.7,10
AI Presentations,"=IMAGE(""https://www.google.com/s2/favicons?domain=slidesgo.com&sz=64"")",Slidesgo,Freemium,slidesgo.com,Huge template library (Freepik) with an AI presentation maker,Free; Premium ~$5/mo,No,Massive template variety; cheap,AI maker is basic,Teachers and template lovers,3,8,5,5.3,11
AI Presentations,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",Slidev,Open source (GitHub),github.com/slidevjs/slidev,Markdown-based developer presentation framework (Vue-powered),Free,Yes — Claude/Claude Code writes Slidev markdown decks directly,Decks as code; version control; live coding,Developers only; no GUI design,Developer talks and tech demos,8,10,7,8.3,1
AI Presentations,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",Marp,Open source (GitHub),github.com/marp-team/marp,Markdown-to-slides ecosystem with VS Code integration and PDF export,Free,Yes — Claude generates Marp markdown perfectly,"Simple, scriptable, CI-friendly",Plain aesthetics out of box,Docs-as-code teams,7,10,6,7.7,3
AI Presentations,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",reveal.js,Open source (GitHub),github.com/hakimel/reveal.js,The classic HTML presentation framework,Free,Yes — Claude writes reveal.js HTML decks,Full web power in slides; mature,HTML/CSS knowledge needed,Web developers,6,10,6,7.3,4
AI Presentations,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",Presenton,Open source (GitHub),github.com/presenton/presenton,Self-hosted open-source AI presentation generator (Gamma alternative),Free (self-host) + your API keys,Yes — bring Anthropic API key,"Private Gamma-style generation; your keys, your data",Young project; self-host effort,Teams wanting private AI deck generation,6,9,6,7.0,5
AI Graphic Design,"=IMAGE(""https://www.google.com/s2/favicons?domain=canva.com&sz=64"")",Canva,Freemium,canva.com,All-in-one design platform with Magic Studio AI suite,Free; Pro $15/mo,Yes — official Canva connector/MCP for Claude,Easiest design tool; AI everywhere; huge templates,Pro designers find it limiting,Non-designers and SMBs,9,8,9,8.7,1
AI Graphic Design,"=IMAGE(""https://www.google.com/s2/favicons?domain=figma.com&sz=64"")",Figma,Freemium,figma.com,Collaborative interface design with AI features and Figma Make,Free; from $16/user/mo,Yes — official Figma MCP server (Dev Mode),Industry standard UI design; Claude can read designs via MCP,Learning curve; cost stacks per editor,Product designers and dev teams,9,7,9,8.3,2
AI Graphic Design,"=IMAGE(""https://www.google.com/s2/favicons?domain=designer.microsoft.com&sz=64"")",Microsoft Designer,Free,designer.microsoft.com,"Free AI graphic design app (social posts, invites) from Microsoft",Free (M365 perks),No,Free; DALL-E powered; easy,Basic vs Canva; consumer-grade,Quick free social graphics,4,9,5,6.0,6
AI Graphic Design,"=IMAGE(""https://www.google.com/s2/favicons?domain=framer.com&sz=64"")",Framer,Freemium,framer.com,AI website design/builder with production-quality output,Free; from $10/mo,Partial — community MCP/plugins,Stunning sites without code; AI page gen,Websites only; CMS limits by tier,Designers shipping marketing sites,6,7,8,7.0,5
AI Graphic Design,"=IMAGE(""https://www.google.com/s2/favicons?domain=uizard.io&sz=64"")",Uizard,Freemium,uizard.io,AI UI mockups: text/screenshot/sketch to editable designs,Free; Pro $12/mo,No,Fastest wireframe-to-mockup path,Output needs design polish; Miro acquisition transition,PMs and founders mocking up ideas,4,7,6,5.7,8
AI Graphic Design,"=IMAGE(""https://www.google.com/s2/favicons?domain=autodraw.com&sz=64"")",AutoDraw,Free,autodraw.com,Google's free sketch-recognition drawing toy,Free,No,Free and fun,Very basic,Quick icons and doodles,2,10,3,5.0,9
AI Graphic Design,"=IMAGE(""https://www.google.com/s2/favicons?domain=design.com&sz=64"")",Design.com,Freemium,design.com,AI logo and brand-kit generator,Free previews; from ~$19,No,Quick logo + brand kit,Generic results,Microbusiness branding,3,6,4,4.3,10
AI Graphic Design,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",Penpot,Open source (GitHub),github.com/penpot/penpot,"Open-source Figma alternative (design + prototyping), self-hostable",Free; paid cloud options,Partial — community MCP servers emerging,Free unlimited design; SVG-native; no lock-in,Smaller plugin ecosystem than Figma,Teams wanting open-source design,6,10,7,7.7,4
AI Graphic Design,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",Excalidraw,Open source (GitHub),github.com/excalidraw/excalidraw,Open-source virtual whiteboard with hand-drawn style + AI diagram gen,Free; Plus $6/mo,Yes — Claude artifacts/MCP can emit Excalidraw/Mermaid,Instant diagrams; text-to-diagram AI; free,Sketch style only,Engineers diagramming ideas,7,10,7,8.0,3
AI Graphic Design,"=IMAGE(""https://www.google.com/s2/favicons?domain=gimp.org&sz=64"")",GIMP,Open source (GitHub),gimp.org,Free Photoshop alternative (AI via community plugins),Free,No,Free raster powerhouse; scriptable,Dated UX; AI only via plugins,Budget photo editing,3,10,5,6.0,7
AI Email Assistants,"=IMAGE(""https://www.google.com/s2/favicons?domain=superhuman.com&sz=64"")",Superhuman,Paid,superhuman.com,"Speed-focused email client with AI triage, replies and follow-ups",From $25/mo (Grammarly-owned),No,Fastest email UX; great AI triage,Expensive; Gmail/Outlook only,Executives living in email,6,4,8,6.0,5
AI Email Assistants,"=IMAGE(""https://www.google.com/s2/favicons?domain=shortwave.com&sz=64"")",Shortwave,Freemium,shortwave.com,AI-native Gmail client with assistant that searches/writes/schedules,Free; from $14/mo,Yes — MCP client support; Claude-friendly,Powerful AI search & agents; MCP-forward,Gmail only,Gmail power users,8,7,8,7.7,1
AI Email Assistants,"=IMAGE(""https://www.google.com/s2/favicons?domain=maestrolabs.com&sz=64"")",MailMaestro,Paid,maestrolabs.com,"AI email copilot for Outlook/Gmail (summaries, drafts, scheduling)",From ~$15/mo,No,Strong Outlook support; enterprise-friendly,"Add-in, not a client",Outlook-centric companies,5,6,6,5.7,6
AI Email Assistants,"=IMAGE(""https://www.google.com/s2/favicons?domain=fyxer.com&sz=64"")",Fyxer,Paid,fyxer.com,"AI executive assistant: drafts replies, organises inbox, meeting notes",From $30/mo,No,Set-and-forget triage + drafting; learns your tone,Pricey; less control,Founders/execs drowning in email,5,5,7,5.7,7
AI Email Assistants,"=IMAGE(""https://www.google.com/s2/favicons?domain=workspace.google.com&sz=64"")",Gemini in Gmail,Paid,workspace.google.com,"Google's native AI inside Gmail: summarise, draft, smart replies",Included in Workspace Business/AI plans,No,Zero-setup if on Workspace,Generic drafting; Google-only,Google Workspace orgs,6,7,6,6.3,3
AI Email Assistants,"=IMAGE(""https://www.google.com/s2/favicons?domain=friday-app.com&sz=64"")",Friday,Freemium,friday-app.com,Lightweight AI email helper (drafting/replies),Free; ~$10/mo,No,Cheap and simple,Obscure; limited features (verify vendor),Casual inbox help,2,7,4,4.3,8
AI Email Assistants,"=IMAGE(""https://www.google.com/s2/favicons?domain=clippit.ai&sz=64"")",Clippit.AI,Freemium,clippit.ai,AI email/writing helper (listed in roundup; small vendor),~$10/mo,No,Inexpensive,Very small product; verify before relying on it,Light users,2,7,3,4.0,9
AI Email Assistants,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",Inbox Zero,Open source (GitHub),github.com/elie222/inbox-zero,"Open-source AI email assistant: auto-triage, rules, bulk unsubscribe",Free self-host; cloud from $16/mo,Yes — works with Anthropic API keys,Open source; powerful automation rules,Gmail-first; self-host setup,Privacy-minded inbox automation,7,9,7,7.7,2
AI Email Assistants,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",Zero (Mail0),Open source (GitHub),github.com/Mail-0/Zero,Open-source AI-native email client project,Free (self-host),Yes — bring-your-own model incl. Claude,Modern OSS email client with AI built in,Early-stage software,Tinkerers wanting an OSS AI inbox,5,9,5,6.3,4
AI Meeting Notes,"=IMAGE(""https://www.google.com/s2/favicons?domain=granola.ai&sz=64"")",Granola,Paid,granola.ai,Notepad that blends your typed notes with AI transcription — no bot joins,Free trial; from $18/mo,Yes — Granola MCP server for Claude,Botless capture; superb summaries; MCP,Mac/iOS-first; no free tier,Back-to-back-meeting professionals,8,6,9,7.7,4
AI Meeting Notes,"=IMAGE(""https://www.google.com/s2/favicons?domain=fathom.video&sz=64"")",Fathom,Freemium,fathom.video,Free AI meeting recorder/summariser for Zoom/Meet/Teams,Free (generous); Premium from $15/mo,Partial — Zapier + API,Best free tier in category; instant summaries,Bot joins calls; recording etiquette,Anyone starting with AI meeting notes,7,9,8,8.0,1
AI Meeting Notes,"=IMAGE(""https://www.google.com/s2/favicons?domain=fireflies.ai&sz=64"")",Fireflies.ai,Freemium,fireflies.ai,"Meeting transcription, summaries and conversation search across tools",Free; Pro $10/mo,Partial — API/Zapier; community MCP,Broad integrations; topic tracking; cheap,Accuracy dips with crosstalk,Teams wanting searchable meeting memory,8,8,8,8.0,2
AI Meeting Notes,"=IMAGE(""https://www.google.com/s2/favicons?domain=otter.ai&sz=64"")",Otter.ai,Freemium,otter.ai,Real-time transcription with live captions and channels,Free 300 min/mo; Pro $16.99/mo,Partial — Zapier,Live transcript UX; education discounts,Summaries weaker than rivals; spammy bot reputation,Students and live captioning,6,7,7,6.7,6
AI Meeting Notes,"=IMAGE(""https://www.google.com/s2/favicons?domain=avoma.com&sz=64"")",Avoma,Paid,avoma.com,Meeting AI + conversation intelligence + revenue insights,From $19/user/mo,Partial — API/Zapier,Meeting notes AND sales coaching in one,Pricier; sales-tool feel,Revenue teams,6,5,8,6.3,11
AI Meeting Notes,"=IMAGE(""https://www.google.com/s2/favicons?domain=fellow.app&sz=64"")",Fellow,Paid,fellow.app,"Meeting management (agendas, actions) with AI recordings",From $7/user/mo,Partial — Zapier,Agendas + actions + notes in one workflow,AI newer than dedicated recorders,Managers running structured meetings,6,7,7,6.7,7
AI Meeting Notes,"=IMAGE(""https://www.google.com/s2/favicons?domain=krisp.ai&sz=64"")",Krisp,Freemium,krisp.ai,AI noise cancellation + transcription layer for any call app,Free; Pro $8/mo,No,Works system-wide with every app; noise removal is best-in-class,Notes secondary to audio cleanup,"Noisy environments, call centres",5,8,7,6.7,8
AI Meeting Notes,"=IMAGE(""https://www.google.com/s2/favicons?domain=equaltime.io&sz=64"")",Equal Time,Paid,equaltime.io,Meeting notes with inclusion/speaking-time analytics,From ~$20/mo,No,Unique DEI/participation metrics,Niche; small vendor,Inclusive-culture teams,3,5,5,4.3,13
AI Meeting Notes,"=IMAGE(""https://www.google.com/s2/favicons?domain=littlebird.ai&sz=64"")",Littlebird,Freemium,littlebird.ai,"Ambient AI assistant (Mac/mobile) that watches your screen, meetings, calendar and email to build a work memory",Free; Plus $17/mo; Pro from $100/mo,No,"Context from everything you do, not just meetings; raised $11M in 2026",Screen-watching privacy trade-off; Mac-first,Sales/CS pros juggling many relationships,6,7,7,6.7,9
AI Meeting Notes,"=IMAGE(""https://www.google.com/s2/favicons?domain=tldv.io&sz=64"")",tl;dv,Freemium,tldv.io,"Meeting recorder with clips, multi-meeting AI reports and CRM sync",Free; Pro $18/mo,Partial — API/Zapier,Good free tier; clip sharing,Bot-based; UI busy,Product and sales teams sharing clips,6,7,7,6.7,10
AI Meeting Notes,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",Whisper + WhisperX,Open source (GitHub),github.com/m-bain/whisperX,DIY pipeline: record → Whisper transcription with speaker diarisation,Free (self-host),Yes — pipe transcripts to Claude for summaries/actions,"Free, private, scriptable; Claude does the summarising",DIY assembly; no calendar bot,Engineers automating their own notes,7,10,7,8.0,3
AI Meeting Notes,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",Meetily,Open source (GitHub),github.com/Zackriya-Solutions/meeting-minutes,Self-hosted AI meeting minutes app (local Whisper + LLM),Free (self-host),Yes — can use Claude as the summarisation model,Fully private meeting notes,Early project; setup effort,Privacy-mandated organisations,5,9,5,6.3,12
AI Meeting Notes,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",Vexa,Open source (GitHub),github.com/Vexa-ai/vexa,Open-source API that sends transcription bots into Google Meet/Teams,Free self-host; API tiers,Partial — feeds transcripts to any LLM incl. Claude,OSS alternative to Recall.ai; real-time,"Developer tool, not end-user app",Builders adding meeting AI to products,6,9,6,7.0,5
AI Scheduling,"=IMAGE(""https://www.google.com/s2/favicons?domain=calendly.com&sz=64"")",Calendly,Freemium,calendly.com,The standard external booking-link scheduler,Free; Standard $10/user/mo,Partial — Zapier/API; community MCP servers,Ubiquitous; integrates everywhere,AI features light; per-seat costs,Anyone booking external meetings,8,8,8,8.0,2
AI Scheduling,"=IMAGE(""https://www.google.com/s2/favicons?domain=usemotion.com&sz=64"")",Motion,Paid,usemotion.com,AI auto-scheduler that plans tasks + meetings into your calendar,From $19/mo (annual),No,True AI time-blocking; project management included,Expensive; opinionated; aggressive upsells,Overloaded ICs and small teams,6,5,8,6.3,5
AI Scheduling,"=IMAGE(""https://www.google.com/s2/favicons?domain=reclaim.ai&sz=64"")",Reclaim AI,Freemium,reclaim.ai,"Smart calendar defense: habits, tasks, buffer time (Dropbox-owned)",Free; from $8/user/mo,No,Great habit/focus-time automation; fair free tier,Google Calendar-first,Protecting deep-work time,6,8,7,7.0,3
AI Scheduling,"=IMAGE(""https://www.google.com/s2/favicons?domain=getclockwise.com&sz=64"")",Clockwise,Freemium,getclockwise.com,Team-level calendar optimisation creating shared focus time,Free; from $6.75/user/mo,No,Optimises whole team's calendars,Value needs org-wide adoption,Engineering orgs with meeting sprawl,6,7,7,6.7,4
AI Scheduling,"=IMAGE(""https://www.google.com/s2/favicons?domain=trevorai.com&sz=64"")",Trevor AI,Freemium,trevorai.com,Drag-and-drop daily time-boxing with AI suggestions,Free; Pro $6/mo,No,Cheap simple time-boxing,Individual-only,Personal daily planners,3,8,5,5.3,7
AI Scheduling,"=IMAGE(""https://www.google.com/s2/favicons?domain=taskade.com&sz=64"")",Taskade,Freemium,taskade.com,"AI workspace: tasks, mind maps, agents (likely the 'Taskode' in roundups)",Free; from $8/mo,Partial — API/automation,Multi-tool value; AI agents cheap,Unfocused breadth,Solopreneurs organising everything,5,8,6,6.3,6
AI Scheduling,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",Cal.com,Open source (GitHub),github.com/calcom/cal.com,Open-source Calendly alternative with API-first design + Cal.ai agent,Free self-host; cloud free/$15/user/mo,Yes — official/community MCP; API-first,Own your scheduling stack; white-label,Self-host maintenance,Companies embedding scheduling,8,9,8,8.3,1
AI Spreadsheets,"=IMAGE(""https://www.google.com/s2/favicons?domain=rows.com&sz=64"")",Rows,Freemium,rows.com,Modern spreadsheet with built-in AI analyst and live data integrations,Free; Plus from $15/mo,No — OpenAI-powered AI features,Native data connectors; AI analysis built in,Migration from Excel/Sheets,Marketing/ops dashboards,6,7,8,7.0,3
AI Spreadsheets,"=IMAGE(""https://www.google.com/s2/favicons?domain=thebricks.com&sz=64"")",Bricks,Freemium,thebricks.com,AI spreadsheet that also generates docs/decks from your data,Free; from $10/mo,No,Spreadsheet + visual reports in one,Young product,SMB reporting,4,7,6,5.7,6
AI Spreadsheets,"=IMAGE(""https://www.google.com/s2/favicons?domain=formulabot.com&sz=64"")",Formula Bot,Freemium,formulabot.com,Text-to-formula and AI data analysis for Excel/Sheets,Free; ~$9/mo,No,Solves the 'what formula do I need' problem cheaply,Narrow scope,Spreadsheet non-experts,4,8,5,5.7,7
AI Spreadsheets,"=IMAGE(""https://www.google.com/s2/favicons?domain=gigasheet.com&sz=64"")",Gigasheet,Freemium,gigasheet.com,Browser spreadsheet for billion-row datasets with AI analysis,Free; Premium from $95/mo,No,Handles data Excel can't open,Pricey paid tiers,Analysts with huge CSVs,4,5,7,5.3,9
AI Spreadsheets,"=IMAGE(""https://www.google.com/s2/favicons?domain=sheetai.app&sz=64"")",SheetAI,Freemium,sheetai.app,Google Sheets add-on bringing AI functions (SHEETAI formulas) into cells,Free; from $8/mo,No — OpenAI key based,AI as a formula inside Sheets,Add-on limits; BYO API key,Sheets power users,4,8,5,5.7,8
AI Spreadsheets,"=IMAGE(""https://www.google.com/s2/favicons?domain=microsoft.com&sz=64"")",Excel + Copilot,Paid,microsoft.com/microsoft-365,Microsoft 365 Copilot inside Excel for analysis and formula help,M365 Copilot $30/user/mo,No,Native in the world's spreadsheet,Expensive; uneven results,Enterprises on M365,6,5,7,6.0,5
AI Spreadsheets,"=IMAGE(""https://www.google.com/s2/favicons?domain=claude.ai&sz=64"")",Claude (data analysis),Freemium,claude.ai,Upload CSV/XLSX to Claude — it writes and runs analysis code on your data,Free; Pro $20/mo,Native,Conversational analysis without leaving Claude; charts via artifacts,Not a live spreadsheet; file size limits,Anyone already paying for Claude,10,8,8,8.7,1
AI Spreadsheets,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",Quadratic,Open source (GitHub),github.com/quadratichq/quadratic,Open-source AI spreadsheet with Python/SQL/JS in cells,Free tier; self-host; paid plans,Yes — Claude selectable among its AI models,Code-native spreadsheet; open source; AI chat with data,Different paradigm than Excel,Technical analysts,8,9,8,8.3,2
AI Spreadsheets,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",Univer,Open source (GitHub),github.com/dream-num/univer,Open-source embeddable docs/sheets engine (Google Docs/Sheets alternative),Free (self-host),Partial — embed your own Claude-powered features,Embed full spreadsheets in your apps,"Developer framework, not end-user app",Product teams embedding sheets,5,9,6,6.7,4
AI Data Visualization & Analysis,"=IMAGE(""https://www.google.com/s2/favicons?domain=julius.ai&sz=64"")",Julius AI,Freemium,julius.ai,Chat-with-your-data analysis and charting from files,Free; from $20/mo,Yes — Claude among its underlying models,Easy stats + viz for non-coders,Cloud-only data concerns,Students and analysts without code,6,7,7,6.7,6
AI Data Visualization & Analysis,"=IMAGE(""https://www.google.com/s2/favicons?domain=hex.tech&sz=64"")",Hex,Freemium,hex.tech,Collaborative data notebooks with Magic AI (SQL/Python generation),Free; Pro ~$36/user/mo,Yes — Anthropic models power Hex Magic,Real data-team workflows + AI,"Aimed at data teams, not casual users",Data scientists and analytics teams,8,6,9,7.7,5
AI Data Visualization & Analysis,"=IMAGE(""https://www.google.com/s2/favicons?domain=flourish.studio&sz=64"")",Flourish,Freemium,flourish.studio,"Beautiful interactive charts, maps and data stories (Canva-owned)",Free (public); from $69/mo,No,Stunning publication-grade visuals,Pricey private tiers; AI light,Journalists and comms teams,5,5,8,6.0,7
AI Data Visualization & Analysis,"=IMAGE(""https://www.google.com/s2/favicons?domain=visme.co&sz=64"")",Visme,Freemium,visme.co,"Infographics, reports and presentations with AI generation",Free; from $12.25/mo,No,Strong infographic templates,Editor can lag; watermarks on free,Marketing infographics,4,7,6,5.7,9
AI Data Visualization & Analysis,"=IMAGE(""https://www.google.com/s2/favicons?domain=zingdata.com&sz=64"")",Zing Data,Freemium,zingdata.com,Mobile-first collaborative BI with natural-language queries,Free; from $10/user/mo,No,Query data from your phone; cheap,Lightweight vs desktop BI,Field teams checking metrics,4,8,6,6.0,8
AI Data Visualization & Analysis,"=IMAGE(""https://www.google.com/s2/favicons?domain=deckopilot.com&sz=64"")",Deckopilot,Paid,deckopilot.com,AI assistant for building data-driven decks (small vendor),~$10-20/mo,No,Deck-focused automation,Obscure; verify vendor before buying,Niche deck builders,2,6,3,3.7,10
AI Data Visualization & Analysis,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",Metabase,Open source (GitHub),github.com/metabase/metabase,"Open-source BI: dashboards, SQL and no-code questions (+Metabot AI)",Free self-host; cloud from $85/mo,Partial — community MCP servers for Claude,Easiest OSS BI; huge adoption,AI features mostly on paid cloud,SMBs self-hosting analytics,7,9,8,8.0,3
AI Data Visualization & Analysis,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",Apache Superset,Open source (GitHub),github.com/apache/superset,Powerful open-source BI/dashboard platform from Apache,Free (self-host),Partial — community MCP/LLM integrations,Enterprise-grade and free; SQL-native,Steeper setup/admin than Metabase,Data teams with infra skills,6,10,8,8.0,4
AI Data Visualization & Analysis,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",Grafana,Open source (GitHub),github.com/grafana/grafana,The standard for metrics/observability dashboards (+LLM plugin),Free self-host; cloud free tier,Partial — Grafana LLM app supports Anthropic,Unbeatable for time-series; massive plugin world,"Ops-flavoured, not business BI",DevOps and monitoring,7,10,8,8.3,2
AI Data Visualization & Analysis,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",Streamlit,Open source (GitHub),github.com/streamlit/streamlit,Turn Python scripts into data apps — Claude writes these well,Free; free community cloud,Yes — Claude/Claude Code generates Streamlit apps directly,Fastest Python-to-app path; free hosting,Python required,Data scientists sharing analyses,8,10,8,8.7,1
AI Knowledge Management,"=IMAGE(""https://www.google.com/s2/favicons?domain=notion.com&sz=64"")",Notion,Freemium,notion.com,"All-in-one workspace with Notion AI (Q&A, writing, agents, enterprise search)",Free; Plus $10; AI add-on ~$10/user/mo,Yes — official Notion MCP connector for Claude,Flexible workspace standard; Claude can read/write it via MCP,AI add-on cost; can sprawl,Teams centralising docs and wikis,9,7,9,8.3,1
AI Knowledge Management,"=IMAGE(""https://www.google.com/s2/favicons?domain=mem.ai&sz=64"")",Mem,Paid,mem.ai,"AI-organised notes: auto-tagging, related notes, chat with your notes",From ~$10/mo,No,Zero-friction capture; AI surfacing,Smaller ecosystem; iOS/web focus,Individual fast note-takers,4,6,6,5.3,10
AI Knowledge Management,"=IMAGE(""https://www.google.com/s2/favicons?domain=tettra.com&sz=64"")",Tettra,Paid,tettra.com,Internal knowledge base with AI Q&A bot for Slack,From $5/user/mo,No,Slack-native answers; curation workflows,Narrow use case,Support/ops teams in Slack,5,7,6,6.0,8
AI Knowledge Management,"=IMAGE(""https://www.google.com/s2/favicons?domain=getguru.com&sz=64"")",Guru,Paid,getguru.com,Enterprise search + intranet + wiki with AI answers across your stack,From $18/user/mo,No,Answers where you work (browser/Slack); verification workflow,Per-seat cost stacks,Mid-size+ companies unifying knowledge,6,5,7,6.0,9
AI Knowledge Management,"=IMAGE(""https://www.google.com/s2/favicons?domain=notebooklm.google.com&sz=64"")",NotebookLM,Freemium,notebooklm.google.com,Google's source-grounded research notebook with Audio Overviews (podcasts),Free; Pro via Google AI plans,No,Grounded answers with citations; audio overviews are unique,Sources capped; Google account needed,Researchers and students,5,9,8,7.3,3
AI Knowledge Management,"=IMAGE(""https://www.google.com/s2/favicons?domain=obsidian.md&sz=64"")",Obsidian,Free,obsidian.md,Local-first markdown knowledge base with huge plugin ecosystem,Free; Sync $5/mo optional,Yes — community MCP servers let Claude read/write your vault,Your notes as local files forever; plugins for everything,Not OSS (free though); sync costs extra,Personal knowledge bases that must last,8,9,8,8.3,2
AI Knowledge Management,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",Logseq,Open source (GitHub),github.com/logseq/logseq,Open-source local-first outliner with bidirectional links,Free,Partial — community plugins/MCP,Truly open Obsidian alternative; daily-notes flow,Slower development pace lately,Outliner fans wanting OSS,5,10,6,7.0,5
AI Knowledge Management,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",AFFiNE,Open source (GitHub),github.com/toeverything/AFFiNE,Open-source Notion alternative: docs + whiteboard + AI,Free self-host; cloud plans,Partial — BYO model options,Docs+canvas in one OSS package,Still maturing,Teams wanting self-hosted Notion,5,9,6,6.7,7
AI Knowledge Management,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",Outline,Open source (GitHub),github.com/outline/outline,Fast open-source team wiki with AI answers,Free self-host; cloud from $10/mo,Partial — API; community MCP,"Clean, fast team wiki; Slack integration",Wiki only,Engineering team documentation,6,9,7,7.3,4
AI Knowledge Management,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",Khoj,Open source (GitHub),github.com/khoj-ai/khoj,"Open-source personal AI brain: chat with your notes/docs, agents",Free self-host; cloud free tier,Yes — can use Anthropic models,Self-hosted RAG over your life; multi-source,Setup effort,Self-hosters wanting personal AI search,6,9,6,7.0,6
AI Workflow Automation,"=IMAGE(""https://www.google.com/s2/favicons?domain=zapier.com&sz=64"")",Zapier,Freemium,zapier.com,"Connect 8,000+ apps with no-code automation, AI steps and agents",Free; from $19.99/mo,Yes — Anthropic/Claude integration + Zapier MCP for Claude,Biggest connector library; Claude can trigger Zaps via MCP,Gets expensive at volume; per-task pricing,Non-technical automators,10,6,9,8.3,3
AI Workflow Automation,"=IMAGE(""https://www.google.com/s2/favicons?domain=make.com&sz=64"")",Make,Freemium,make.com,Visual automation builder with powerful branching and data ops,Free; from $9/mo,Yes — Anthropic modules + Make MCP,More power per dollar than Zapier; visual debugging,Steeper learning curve,Ops people who outgrow Zapier,9,8,9,8.7,2
AI Workflow Automation,"=IMAGE(""https://www.google.com/s2/favicons?domain=n8n.io&sz=64"")",n8n,Freemium,n8n.io,Source-available workflow automation with native AI/LangChain nodes — self-host free,Free self-host; cloud from $24/mo,Yes — native Anthropic/Claude nodes + MCP support,Self-host = unlimited runs free; AI-agent nodes; also the top free GitHub alternative here,Fair-code licence (not pure OSS); technical setup,Technical teams automating heavily,9,9,9,9.0,1
AI Workflow Automation,"=IMAGE(""https://www.google.com/s2/favicons?domain=monday.com&sz=64"")",Monday.com,Paid,monday.com,Work OS with AI blocks for project/CRM workflows,From $9/user/mo,Partial — via Zapier/Make,Flexible work management; AI sprinkled in,Automation secondary; seat costs,Teams wanting PM + light automation,6,6,7,6.3,12
